Source,Target,Type,Id,Label,Weight
«АЛАЯ РОЗА» (Группа художников и одноименная выставка),В. П. Половинкин,Directed,63,,1
«АЛАЯ РОЗА» (Группа художников и одноименная выставка),Е. С. Потехина,Directed,64,,1
«АЛАЯ РОЗА» (Группа художников и одноименная выставка),Н. Н. Сапунов,Directed,65,,1
«АЛАЯ РОЗА» (Группа художников и одноименная выставка),М. С. Сарьян,Directed,66,,1
«АЛАЯ РОЗА» (Группа художников и одноименная выставка),С. Д. Симпол,Directed,67,,1
«АЛАЯ РОЗА» (Группа художников и одноименная выставка),С. Ю. Судейкин,Directed,68,,1
«АЛАЯ РОЗА» (Группа художников и одноименная выставка),П. С. Уткин,Directed,69,,1
«АЛАЯ РОЗА» (Группа художников и одноименная выставка),К. Л. Фельден,Directed,70,,1
«АЛАЯ РОЗА» (Группа художников и одноименная выставка),Н. П. Феофилактов,Directed,71,,1
«АЛАЯ РОЗА» (Группа художников и одноименная выставка),М. А. Врубель,Directed,72,,1
«АЛАЯ РОЗА» (Группа художников и одноименная выставка),В. Э. Борисов-Мусатов,Directed,73,,1
Алтайское художественное общество,В. В. Безсонов,Directed,74,,1
Алтайское художественное общество,В. Н. Гуляев,Directed,75,,1
Алтайское художественное общество,Н. Н Емельянов,Directed,76,,1
Алтайское художественное общество,В. В. Карев,Directed,77,,1
Алтайское художественное общество,Е. Л. Коровай,Directed,78,,1
Алтайское художественное общество,М. И. Курзин,Directed,79,,1
Алтайское художественное общество,К. Ларионов,Directed,80,,1
Алтайское художественное общество,В. Н. Макаров,Directed,81,,1
Алтайское художественное общество,С. Р. Надольский,Directed,82,,1
Алтайское художественное общество,А. О. Никулин,Directed,83,,1
Алтайское художественное общество,М. И. Трусов (Чебдар),Directed,84,,1
Алтайское художественное общество,А. В. Худяшов,Directed,85,,1
Алтайское художественное общество,И. Д. Чашников,Directed,86,,1
Алтайское художественное общество,Н. А. Янова-Надольская,Directed,87,,1
«АМАРАВЕЛЛА» («Космисты». Группа художников),А. П. Сардан,Directed,88,,1
«АМАРАВЕЛЛА» («Космисты». Группа художников),Б. А. Смирнов-Русецкий,Directed,89,,1
«АМАРАВЕЛЛА» («Космисты». Группа художников),П. П. Фатеев,Directed,90,,1
«АМАРАВЕЛЛА» («Космисты». Группа художников),В. Т. Черноволенко,Directed,91,,1
«АМАРАВЕЛЛА» («Космисты». Группа художников),С. И. Шигалев,Directed,92,,1
Амурское общество поощрения художеств,В. Е. Панов,Directed,93,,1
Амурское общество поощрения художеств,А. А. Алек­сандров,Directed,94,,1
Амурское общество поощрения художеств,М. С. Пилецкий,Directed,95,,1
Амурское общество поощрения художеств,А. И. Сулоцкий,Directed,96,,1
Амурское общество поощрения художеств,Е. Н. Трофимовский,Directed,97,,1
Амурское общество поощрения художеств,В. Г. Шешунов,Directed,98,,1
Амурское общество поощрения художеств,С. И. Володченко,Directed,99,,1
Амурское общество поощрения художеств,В. С. Воротников,Directed,100,,1
Амурское общество поощрения художеств,Ф. С. Шадрин,Directed,101,,1
Амурское общество поощрения художеств,А. Н. Григорьев,Directed,102,,1
Амурское общество поощрения художеств,А. Д. Наличников,Directed,103,,1
Артель П. А. Крестоносцева,П. А. Крестоносцев (Волгин),Directed,104,,1
Артель П. А. Крестоносцева,В. А. Бобров,Directed,105,,1
Артель П. А. Крестоносцева,А. К. Дамберг,Directed,106,,1
Артель П. А. Крестоносцева,А. Ф. Калмыков,Directed,107,,1
Артель П. А. Крестоносцева,А. А. Киселев,Directed,108,,1
Артель П. А. Крестоносцева,Н. А. Кошелев,Directed,109,,1
Артель П. А. Крестоносцева,В. М. Максимов,Directed,110,,1
Артель П. А. Крестоносцева,А. Н. Шурыгин,Directed,111,,1
Артель русских художников,Л. М. Антокольский,Directed,112,,1
Артель русских художников,И. Я. Билибин,Directed,113,,1
Артель русских художников,Г. М. Бобровский,Directed,114,,1
Артель русских художников,Н. Н. Герардов,Directed,115,,1
Артель русских художников,С. М. Дудин,Directed,116,,1
Артель русских художников,М. Ф. Иванов,Directed,117,,1
Артель русских художников,А. Ф. Максимов,Directed,118,,1
Артель русских художников,К. А. Стабровский,Directed,119,,1
Артель русских художников,Н. М. Фокин,Directed,120,,1
Артель русских художников,С. Ф. Чуприненко,Directed,121,,1
Артель русских художников,А. В. Щусев,Directed,122,,1
Архангельский кружок любителей изящных искусств,С. А. Брянчанинова,Directed,123,,1
Архангельский кружок любителей изящных искусств,А. А. Каретников,Directed,124,,1
Архангельский кружок любителей изящных искусств,К. Ф. Богаевский,Directed,125,,1
Архангельский кружок любителей изящных искусств,Н. П. Богданов-Бельский,Directed,126,,1
Архангельский кружок любителей изящных искусств,И. И. Бродский,Directed,127,,1
Архангельский кружок любителей изящных искусств,А. Ф. Гауш,Directed,128,,1
Архангельский кружок любителей изящных искусств,М. В. Добужинский,Directed,129,,1
Архангельский кружок любителей изящных искусств,Н. Н. Дубовской,Directed,130,,1
Архангельский кружок любителей изящных искусств,Д. Н. Кардовский,Directed,131,,1
Архангельский кружок любителей изящных искусств,Б. М. Кустодиев,Directed,132,,1
Архангельский кружок любителей изящных искусств,Е. Е. Лансере,Directed,133,,1
Архангельский кружок любителей изящных искусств,Г. Г. Мясоедов,Directed,134,,1
Архангельский кружок любителей изящных искусств,А. П. Остроумова-Лебедева,Directed,135,,1
Архангельский кружок любителей изящных искусств,К. С. Петров-Водкин,Directed,136,,1
Архангельский кружок любителей изящных искусств,А. К. Жаба,Directed,137,,1
Архангельский кружок любителей изящных искусств,Н. К. Жаба,Directed,138,,1
Архангельский кружок любителей изящных искусств,П. И. Калашников,Directed,139,,1
Архангельский кружок любителей изящных искусств,З. Калашников,Directed,140,,1
Архангельский кружок любителей изящных искусств,С. Г. Писахов,Directed,141,,1
Архангельский кружок любителей изящных искусств,И. М. Шатский,Directed,142,,1
Архангельский кружок любителей изящных искусств,И. К. Вылко,Directed,143,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",В. Н. Аралов,Directed,144,,2
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",Н. П. Башмаков,Directed,146,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",И. С. Блохин,Directed,147,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",Л. Г. Голова,Directed,148,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",Л. А. Губина,Directed,149,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",С. М. Гузиков,Directed,150,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",И. Д. Дмитриев,Directed,151,,1
